n,time (min)
0,0.03387375036875407
1,0.02373476293351915
2,0.019469585087564256
3,0.012682548099093967
4,0.00938764558898078
5,0.0072182465924157035
6,0.0062952619128757055
7,0.007814945313665602
8,0.012056348588731555
9,0.02753479586707221
