n,1 feature(s),2 feature(s)
2,4.424778761061947e-05,0.0
4,0.120375,0.054890625
8,0.140078125,0.10046875
16,0.1493046875,0.12571875
32,0.15372767857142858,0.1392857142857143
64,0.1554921875,0.1461484375
128,0.15794084821428572,0.15052455357142858
256,0.158279296875,0.151919921875
512,0.15819056919642857,0.15247349330357143
1024,0.158669921875,0.153330078125
