n,time (min)
0,0.03413116428587172
1,0.024633724689483643
2,0.016797565619150797
3,0.012546450959311591
4,0.009490729239251879
5,0.00726738154888153
6,0.006521631545490689
7,0.007703889012336731
8,0.012730083929167853
9,0.028162276016341314
