n,1 feature(s),2 feature(s),3 feature(s)
2,18984,14351,17063
4,10960,11520,10400
8,7560,8680,5712
16,7320,4040,4040
32,3416,3724,2828
64,2040,2280,2020
128,1582,1456,1414
256,1030,1200,1010
512,714,707,707
1024,505,510,505
