n,1 feature(s),2 feature(s),3 feature(s)
2,18306,14916,15707
4,8400,10000,14240
8,11200,8792,9072
16,5080,5640,4440
32,3332,3668,3192
64,2220,2680,2300
128,1596,1484,1652
256,1020,1070,1030
512,721,749,707
1024,505,515,550
