n,time (min)
0,0.03304539700349172
1,0.02628092924753825
2,0.016920080913437736
3,0.012284199595451356
4,0.009040133489502802
5,0.007133369445800781
6,0.005673345724741618
7,0.006330562233924866
8,0.009321587284406026
9,0.020007569193840027
