n,1 feature(s),2 feature(s),3 feature(s)
2,12995,22600,22600
4,13120,13120,8800
8,8624,10640,10976
16,5320,4800,6280
32,2856,3472,3556
64,2180,2220,2600
128,1442,1582,1414
256,1010,1100,1050
512,707,756,707
1024,510,510,505
