n,1 feature(s),2 feature(s),3 feature(s)
2,0.2525778009195243,0.15281754294638208,0.22978826628544188
4,0.2051617772446066,0.12277934388344332,0.16174942016601562
8,0.18058494502037392,0.0971357654389881,0.11680320457175926
16,0.16965188419117647,0.07894690880408654,0.08619798563294491
32,0.1646019247542767,0.06917626043284161,0.06886754717145648
64,0.16173929850260416,0.0633726806640625,0.05896675281954887
128,0.16005656153332395,0.060237153254731376,0.053954772184367165
256,0.15946354166666668,0.058567708333333336,0.05137453332411505
512,0.15917721393743667,0.05788947466322055,0.05000581287202381
1024,0.15917503720238096,0.05725507084627329,0.049350555981595094
