n,1 feature(s),2 feature(s),3 feature(s)
2,0.2520031986107496,0.10545259796773697,0.21099584842456465
4,0.20531591796875,0.04703807446780621,0.10594763662300857
8,0.1802753121512277,0.024115245913332438,0.048069443813590115
16,0.16984014096467392,0.01395406351461039,0.022948460549301244
32,0.16471248478084416,0.009518436849861305,0.012760945109577922
64,0.1619852854793233,0.0074019820601851855,0.008614334405637254
128,0.1601800299310065,0.006309017747724089,0.006560466480024213
256,0.1593505859375,0.005671314201732673,0.005491955445544554
512,0.15904575892857142,0.005331695395171958,0.005005908613445379
1024,0.1591916944159836,0.005090215773809524,0.004560452063106796
