n,1 feature(s),2 feature(s),3 feature(s)
2,12204,17176,17967
4,9360,10560,16000
8,9912,5712,7504
16,5280,6040,7440
32,2828,3052,3388
64,2280,2060,2120
128,1442,1624,1414
256,1040,1050,1160
512,714,721,707
1024,505,505,520
