n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.118171875,0.029515625,0.0125
8,0.138671875,0.04537946428571429,0.029575892857142856
16,0.148234375,0.057359375,0.04715625
32,0.15276227678571427,0.06630580357142857,0.058956473214285716
64,0.155734375,0.07211328125,0.0678984375
128,0.15723772321428572,0.07519252232142858,0.07219308035714286
256,0.157724609375,0.07653515625,0.074919921875
512,0.15825474330357142,0.07778459821428571,0.07653041294642857
1024,0.158349609375,0.0784833984375,0.0774912109375
