n,1 feature(s),2 feature(s),3 feature(s)
2,11978,19662,14125
4,8560,8080,13520
8,7224,9072,5880
16,4040,8000,4600
32,3892,3528,3108
64,2260,2160,2140
128,1470,1442,1456
256,1020,1050,1090
512,721,728,812
1024,505,505,520
