n,1 feature(s),2 feature(s)
2,0.18810507017427788,0.16480936659072873
4,0.18505508436947352,0.16184467343319567
8,0.17758305297785942,0.14693414704190602
16,0.16964065475684165,0.13122604237386803
32,0.1645461953381068,0.12037048085311099
64,0.16173874043845776,0.11460784216155777
128,0.16015846289618615,0.11117049665289877
256,0.15945129694904495,0.1092804126946985
512,0.15903699059392645,0.108330224601967
1024,0.15885792629957998,0.1079089535370904
