n,time (min)
0,0.043518156541718374
1,0.035465024179882475
2,0.023041694296730888
3,0.018875120480855306
4,0.012703397936291164
5,0.00988895661301083
6,0.008246093988418579
7,0.009650982088512845
8,0.014483564562267728
9,0.031238165497779847
