n,1 feature(s),2 feature(s),3 feature(s)
2,11752,18532,14916
4,8960,15920,10640
8,6720,7112,7672
16,6040,5560,7920
32,3136,3136,3528
64,2260,2020,2300
128,1484,1540,1638
256,1050,1070,1030
512,707,721,707
1024,505,510,515
