n,1 feature(s),2 feature(s)
2,0.24974609375,0.416622314453125
4,0.21279122488839286,0.2943324497767857
8,0.18431640625,0.21281982421875
16,0.16944405691964284,0.1768310546875
32,0.1642236328125,0.15763671875
