n,1 feature(s),2 feature(s),3 feature(s)
2,4.424778761061947e-05,0.0,0.0
4,0.119,0.029140625,0.004859375
8,0.14052455357142857,0.04763392857142857,0.013392857142857142
16,0.1491796875,0.0597734375,0.022546875
32,0.15290736607142857,0.06758370535714285,0.03064732142857143
64,0.15619140625,0.07300390625,0.03653515625
128,0.15717075892857144,0.07595145089285714,0.0402734375
256,0.157978515625,0.077052734375,0.041853515625
512,0.15805245535714285,0.077646484375,0.04291294642857143
1024,0.1586298828125,0.078119140625,0.0441904296875
