n,time (min)
0,0.052521033022138806
1,0.040562484794192846
2,0.02498828073342641
3,0.0191677412059572
4,0.014031075570318434
5,0.01144415881898668
6,0.010276740590731304
7,0.012437885933452183
8,0.020537960661782158
9,0.04823015828927358
