n,1 feature(s),2 feature(s),3 feature(s)
2,16159,15255,14577
4,12240,11040,10640
8,7336,7560,7000
16,4080,5800,4920
32,3136,2912,3836
64,2400,2180,2220
128,1428,1596,1778
256,1040,1110,1030
512,707,707,707
1024,505,505,520
