n,time (min)
0,0.03758750326103634
1,0.02960489094257355
2,0.01859632478819953
3,0.01501531938711802
4,0.011759594215287102
5,0.009110524654388427
6,0.00890711850590176
7,0.010189206136597528
8,0.017140283319685194
9,0.03977851185533735
