n,1 feature(s),2 feature(s),3 feature(s)
2,15707,22600,18758
4,9840,16000,15360
8,8064,6832,6104
16,4160,5800,5040
32,3192,4928,2996
64,2280,2480,3260
128,1540,1736,1680
256,1020,1090,1110
512,707,735,714
1024,505,505,505
