n,1 feature(s),2 feature(s),3 feature(s)
2,0.18736672657704412,0.1499073125709924,0.20285865420055962
4,0.1853472362724333,0.13541904198260868,0.17213156216924466
8,0.1787457244187938,0.10844256277867892,0.13307348653237544
16,0.16754962866157616,0.08857492182852411,0.09997008673929968
32,0.16349274688218615,0.07920820948532238,0.08295775319149817
64,0.16104705056758717,0.07339707683169133,0.07330235782215755
128,0.15992260839233602,0.0706837239460668,0.069391107724659
256,0.1594151182934816,0.06942396407827231,0.06684065812446985
