n,1 feature(s),2 feature(s),3 feature(s)
2,12430,15142,22600
4,11440,14400,14640
8,7896,7336,5712
16,4400,5080,8000
32,2996,3640,3108
64,2200,2360,2020
128,1442,1442,1666
256,1010,1070,1060
512,707,749,728
1024,505,505,505
