n,time (min)
0,0.05291669898562961
1,0.03712327500184377
2,0.025929280254575943
3,0.01793150418334537
4,0.012877796623441908
5,0.009752439988984002
6,0.008485810160636901
7,0.009652333524492051
8,0.016055688791804842
9,0.03608466307322184
