n,1 feature(s),2 feature(s)
2,0.25221750985204644,0.4001816795146571
4,0.20443958629261363,0.23699583120681533
8,0.18006910241168478,0.14304164341517858
16,0.16982421875,0.10373193359375
32,0.16427914126888737,0.08693212392378827
64,0.16179602915846455,0.07969005310457516
128,0.16019821166992188,0.07567026667755516
256,0.15959765625,0.07395182291666667
512,0.15913744183853118,0.07294097504058442
1024,0.15882161458333333,0.07233704524253731
