n,1 feature(s),2 feature(s),3 feature(s)
2,0.25179114925579515,0.23719560028876432,0.2676081996681416
4,0.20576103255593564,0.19685723440987724,0.22337197968454073
8,0.18006756720220793,0.17468421572730655,0.1845353350459257
16,0.1700255378844246,0.16312224014945653,0.1574088332999466
32,0.1647615916168635,0.15654812451475156,0.14126558686086846
64,0.16172640931372548,0.15211112544221697,0.1323508726347477
128,0.1603336256377551,0.14949807335114704,0.1275133601793758
256,0.15944208904979676,0.14780089180424527,0.12462942940848214
512,0.15922482274159663,0.147154131279036,0.1231548427795031
1024,0.1590473495911215,0.14684172453703703,0.12258340804303279
