n,1 feature(s),2 feature(s),3 feature(s)
2,14351,22600,22600
4,14960,9040,14080
8,6664,8456,11200
16,5720,8000,5200
32,3332,2828,5180
64,2440,2400,2160
128,1540,1442,1498
256,1070,1110,1040
512,707,798,735
1024,505,510,505
