n,1 feature(s),2 feature(s),3 feature(s)
2,18532,17402,18871
4,9680,13280,15360
8,8064,9912,6272
16,4360,5200,4680
32,3444,3528,2912
64,2060,2400,2080
128,1582,1568,1414
256,1050,1040,1030
512,721,714,707
1024,505,510,505
