n,1 feature(s),2 feature(s),3 feature(s)
2,14464,16837,16385
4,12480,9280,10720
8,7280,9800,7112
16,4440,4080,4040
32,4256,3136,2828
64,2260,2420,2020
128,1540,1736,1414
256,1050,1050,1010
512,714,707,707
1024,505,515,505
