n,1 feature(s),2 feature(s),3 feature(s)
2,0.25129880251864145,0.16271177689613114,0.18006184670777448
4,0.2067578216097248,0.13572822766426282,0.15053176879882812
8,0.1805800241441583,0.10950487549953197,0.11846975994925214
16,0.16965587719066724,0.09120939879858193,0.09202559037642045
32,0.16425389241440377,0.0806729936790721,0.07354318680597238
64,0.1614692338016055,0.0747793758616728,0.061492313139619885
128,0.15999822005849754,0.07145957341269842,0.054663462988658304
256,0.15929039681311882,0.0695189244538835,0.050993948271780304
512,0.15901910168293937,0.06851993053417488,0.04912659362122253
1024,0.15882703993055555,0.0680484375,0.04841821755573249
