n,1 feature(s),2 feature(s)
2,0.254736328125,0.16463134765625
4,0.20322091238839285,0.13246198381696428
8,0.18422607421875,0.10929931640625
16,0.1708740234375,0.08980538504464286
32,0.1648828125,0.082421875
