n,time (min)
0,0.03967332250542111
1,0.030472902390691968
2,0.01971254991160499
3,0.015093207094404433
4,0.011570967899428474
5,0.009066306551297506
6,0.00928621874915229
7,0.012555729084544711
8,0.022312912543614706
9,0.05111350437005361
