n,1 feature(s),2 feature(s),3 feature(s)
2,0.25144633362165003,0.16289844614214602,0.2332967428132131
4,0.20530104274072017,0.13455148315429688,0.17000994975340433
8,0.1806646893783555,0.10920904820261437,0.12714853487298314
16,0.1696296105018029,0.09083264870618386,0.09651995275774573
32,0.16461759000211149,0.08064266559488378,0.07854970582290495
64,0.16170111762152778,0.07452475538531553,0.06858857567630597
128,0.1601027103892544,0.07153260179341132,0.06343794842155612
256,0.1595792255704365,0.06987836478960396,0.06077112268518518
512,0.1591468224158654,0.0689449453712406,0.05942557198660714
1024,0.1590506937966418,0.06855376621462264,0.05865902824197861
