n,time (min)
0,0.0462636399269104
1,0.038142087128427295
2,0.025712599953015645
3,0.01891696830590566
4,0.012886093192630343
5,0.009794399274720086
6,0.008778441217210558
7,0.009790931410259671
8,0.0154441946082645
9,0.03492410765753852
