n,1 feature(s),2 feature(s)
2,0.1891820951792594,0.1043698616517736
4,0.185105210351661,0.06163235779603205
8,0.17944849353687292,0.03671533386157832
16,0.17058829340739004,0.025768769695404075
32,0.16460424596101395,0.019539604453817104
