n,1 feature(s),2 feature(s)
2,0.0,0.0
4,0.117640625,0.007765625
8,0.13989955357142858,0.013649553571428571
16,0.1492265625,0.0160390625
32,0.15431361607142857,0.017689732142857142
64,0.1568984375,0.018984375
128,0.1575864955357143,0.020259486607142857
256,0.158142578125,0.02056640625
512,0.15821010044642858,0.021102120535714287
1024,0.1583916015625,0.0214462890625
