n,1 feature(s),2 feature(s),3 feature(s)
2,0.252431975983748,0.1805874128781306,0.24160739594856195
4,0.20483897816051136,0.1548225716368793,0.18515886112967914
8,0.1801067905207247,0.13108898344494047,0.1459710793417008
16,0.1700806517701049,0.11262332231570513,0.11544149210164835
32,0.16486150568181818,0.10178674768518518,0.09661016869268822
64,0.16180864851051402,0.09571850393700787,0.08605605116835585
128,0.16021237063717533,0.09233154635488905,0.08107140551210154
256,0.15931598165760869,0.09057531524122807,0.07804298771237864
512,0.158804388832998,0.08959249848300971,0.07649759287984262
1024,0.15858827394859812,0.08941425212378641,0.07583670910493827
