n,1 feature(s),2 feature(s),3 feature(s)
2,15707,22600,19323
4,9840,16000,10560
8,8064,6832,11200
16,4160,5800,4320
32,3192,4928,3164
64,2280,2480,2660
128,1540,1736,1470
256,1020,1090,1090
512,707,735,728
1024,505,505,505
