n,1 feature(s),2 feature(s),3 feature(s)
2,22600,11413,11413
4,16000,16000,8080
8,11200,11200,5656
16,8000,8000,4040
32,5600,5600,2828
64,4000,4000,2020
128,2800,1876,1414
256,2000,2000,1010
512,1400,1358,707
1024,1000,1000,505
