n,time (min)
0,0.04297129876083798
1,0.031862033671802945
2,0.02136601269245148
3,0.01525293575392829
4,0.011448071400324503
5,0.008961126142077976
6,0.007144768238067627
7,0.0077931633260515
8,0.011947301493750678
9,0.025592745277616714
