n,1 feature(s),2 feature(s),3 feature(s)
2,4.424778761061947e-05,0.0,0.0
4,0.120078125,0.029171875,0.006734375
8,0.14029017857142856,0.046517857142857146,0.017857142857142856
16,0.1481015625,0.0594609375,0.0305390625
32,0.15277901785714285,0.06755022321428572,0.040089285714285716
64,0.15604296875,0.07305078125,0.04801171875
128,0.15732700892857143,0.07587053571428572,0.051808035714285716
256,0.157896484375,0.076931640625,0.053869140625
512,0.15794363839285713,0.07748604910714285,0.05511997767857143
1024,0.158359375,0.0781943359375,0.0561328125
