n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.119125,0.0291875,0.001265625
8,0.14112723214285713,0.047845982142857145,0.0031026785714285713
16,0.1490234375,0.0600078125,0.006265625
32,0.15359933035714285,0.06822544642857142,0.009693080357142857
64,0.15568359375,0.0731015625,0.0123046875
128,0.15725167410714286,0.07559151785714285,0.01396484375
256,0.1580390625,0.07675,0.01515234375
512,0.15834263392857142,0.07785435267857142,0.015846819196428573
1024,0.1583046875,0.078134765625,0.0165478515625
