n,1 feature(s),2 feature(s),3 feature(s)
2,0.25219567579625146,0.18923612817118504,0.24544113769205542
4,0.20519503889412716,0.16364584350585937,0.19176938657407408
8,0.1799979912952397,0.13947684151785714,0.15364588177393354
16,0.17011240042892156,0.12221099551361386,0.12324703303912214
32,0.1647083199341707,0.11118982468838402,0.10461885403689092
64,0.16190708705357143,0.10534379613681102,0.09416578453005725
128,0.16025714485012754,0.10206930013432364,0.08906715029761905
256,0.15917231721698114,0.10021817646329365,0.08608992866847825
512,0.15878621814320387,0.09916981929490547,0.08451786747685185
1024,0.15850906905594406,0.09883585319244605,0.08388502038043479
