n,1 feature(s),2 feature(s),3 feature(s)
2,0.25767822265625,0.1681640625,0.1553515625
4,0.2031982421875,0.13518240792410716,0.13210972377232144
8,0.18305908203125,0.10962646484375,0.1117724609375
16,0.16911272321428572,0.0919189453125,0.094189453125
32,0.1648681640625,0.08146484375,0.08005859375
