n,1 feature(s),2 feature(s),3 feature(s)
2,0.18877137738391786,0.14991517095690082,0.2009003476097033
4,0.18534499673372876,0.13896006255994217,0.17540990597990172
8,0.177829623135065,0.11920312084570885,0.14443113248984393
16,0.16949426854062552,0.10192713057328975,0.11415497662128146
32,0.1644388292318021,0.09172104590485944,0.09608109784608979
64,0.1615674874198341,0.08558710838340904,0.08516393483996783
128,0.16017888108718853,0.0822447854831557,0.08007647968756687
256,0.15937728038992494,0.08041741223403101,0.07692009361603659
512,0.15900500537165838,0.07957397671929325,0.07548038603909238
1024,0.1588373361513333,0.0791219091831126,0.07479849873092508
