n,1 feature(s),2 feature(s),3 feature(s)
2,12317,14012,14577
4,8480,8560,16000
8,7672,8120,7000
16,5280,5000,8000
32,2968,4508,3108
64,2400,2440,2220
128,1624,1456,2016
256,1060,1110,1180
512,707,707,721
1024,505,515,505
